from,to,count,kind,type,status,reason
aufdiestrasse,solidaritaetde,5,live,link,,
benediktkaiser,dereckart,5,live,link,,
christian_zaum_afd,zentrumautomobil,5,live,link,,
christopherdroesslerafd,grimbart_studio,5,live,link,,
club451,komitet212,5,live,link,,
compact,stefani_julianavogel,5,live,link,,
compact,support,5,live,link,,
compact,warriorsukrainian,5,live,link,,
danielhaseloffafd,freilichmagazin,5,live,link,,
dereckart,oesterreichischelandsmannschaft,5,live,link,,
dominikkaufner,robertteske,5,live,link,,
generation_thueringen,grimbart_studio,5,live,link,,
hcberndt,ein_prozent,5,live,link,,
hcberndt,rosenbusch,5,live,link,,
ibsachsen,aktion451,5,live,link,,
ibsachsen,identitaereoesterreich,5,live,link,,
idearium_debattennetzwerk,horstenweissafd,5,live,link,,
identitaeredeutschland,compactmagazin,5,live,link,,
identitaeredeutschland,heimatkurier,5,live,link,,
identitaeredeutschland,lederhosen_revolte,5,live,link,,
info_direkt,martinsellnerib,5,live,link,,
irmhild_bossdorf,ijzerwake,5,live,link,,
irmhild_bossdorf,lukreta,5,live,link,,
jadeutschland,freilichmagazin,5,live,link,,
jadeutschland,generation_thueringen,5,live,link,,
jadresden,afdsachsen,5,live,link,,
juergenpohlafd,nachrichtenwelt,5,live,link,,
jungealternativenrw,gutmenschenkeule,5,live,link,,
jungealternativenrw,horizont_telegram,5,live,link,,
jungealternativesh,freilichmagazin,5,live,link,,
jungealternativesh,wilhelmkachel,5,live,link,,
jungeuropa,irmhild_bossdorf,5,live,link,,
jungeuropa,matthiashelferich,5,live,link,,
kaernten_geht_in_die_offensive,fairdenkenoriginal,5,live,link,,
kaernten_geht_in_die_offensive,gema1963,5,live,link,,
kaernten_geht_in_die_offensive,martinrutter,5,live,link,,
kaernten_geht_in_die_offensive,meinednews,5,live,link,,
kaernten_geht_in_die_offensive,metainfoaktiv,5,live,link,,
kaernten_geht_in_die_offensive,sunevonews,5,live,link,,
kvltgames,dynostorm,5,live,link,,
kvltgames,thebizarchives,5,live,link,,
martinctkohler,kristin_brinker,5,live,link,,
marvintneumann,auf1tv,5,live,link,,
